1,184,90
2,49,61
2,135,72
2,152,202
2,155,277
2,188,245
3,129,173
4,3,142
5,4,57
6,5,102
6,21,40
7,52,77
7,53,124
7,139,68
7,158,50
8,53,376
9,134,44
10,151,219
10,152,181
10,165,53
11,12,165
12,18,74
13,15,104
14,13,153
15,85,459
16,127,435
16,19,193
17,14,48
17,15,304
18,20,345
19,11,62
19,18,295
20,137,560
21,130,125
22,127,136
23,37,47
24,97,144
25,183,121
26,25,42
27,167,59
27,173,78
27,185,203
29,131,92
30,192,106
30,29,86
30,63,64
31,131,78
32,55,207
32,70,174
33,36,189
33,56,124
34,193,127
34,157,81
35,188,64
35,34,112
35,160,62
36,33,189
36,37,57
36,143,99
37,23,47
37,36,57
37,177,100
38,46,79
38,50,144
38,134,79
39,117,69
40,43,217
41,84,84
42,39,72
43,41,183
43,42,160
44,122,403
44,124,182
45,22,56
46,38,79
46,51,133
46,172,101
47,190,98
47,48,234
47,132,113
47,147,168
48,185,131
48,47,234
48,164,89
49,2,61
49,35,218
49,159,60
50,76,317
50,135,78
50,172,52
51,46,133
51,52,186
52,7,77
52,51,186
52,53,109
52,172,199
53,7,124
53,8,376
53,52,109
53,140,73
54,121,112
54,70,67
55,32,207
55,56,228
55,73,91
55,143,178
56,33,124
56,55,228
57,176,419
58,92,317
58,129,926
59,187,48
60,185,73
60,61,194
60,173,204
61,190,83
61,60,194
61,145,197
62,44,981
63,30,64
63,65,179
63,157,69
64,65,132
65,63,179
65,64,132
65,131,48
65,160,61
66,67,72
67,66,72
67,68,96
67,146,217
68,67,96
68,69,48
68,147,271
68,148,273
69,128,73
69,68,48
70,32,174
70,54,67
70,72,79
70,133,90
71,72,112
72,194,113
72,70,79
72,71,112
72,73,222
73,55,91
73,72,222
74,172,333
75,92,314
76,78,74
77,135,305
77,76,77
78,172,326
78,74,83
79,80,56
80,79,56
81,82,53
82,81,53
83,122,199
84,16,399
85,83,90
86,89,193
86,102,115
86,115,130
87,95,97
87,106,85
88,101,89
88,113,166
89,91,76
89,114,76
90,91,76
90,118,76
91,89,76
91,90,76
91,102,288
92,126,350
93,45,118
94,88,59
94,112,137
95,87,97
95,100,68
95,101,134
96,94,78
96,111,125
97,59,541
97,28,813
98,182,215
98,28,551
99,118,76
100,96,78
100,107,179
101,88,89
101,95,134
101,100,91
102,86,115
102,103,77
102,106,175
103,90,289
103,119,76
104,99,289
104,105,76
105,108,167
105,109,66
106,87,85
106,102,175
106,103,167
107,104,168
107,120,77
108,96,190
108,107,76
109,110,168
110,108,87
110,109,168
110,111,209
111,110,209
111,112,78
112,111,78
112,113,119
113,88,166
113,112,119
113,127,255
114,89,76
114,115,88
114,128,80
115,86,130
115,128,114
116,62,41
117,26,1158
118,90,76
118,99,76
118,119,289
119,104,76
119,120,168
120,95,169
120,106,76
121,140,42
121,54,112
123,59,1037
123,62,355
125,127,567
125,163,396
126,93,285
126,129,258
127,6,42
127,113,255
127,125,567
128,69,73
128,114,80
128,115,114
129,17,237
130,138,934
130,20,250
131,31,78
131,132,214
132,191,77
132,47,113
132,147,160
133,70,90
133,156,62
134,9,44
134,38,79
135,2,72
135,50,78
135,134,165
136,140,75
136,141,65
137,57,195
137,138,124
138,193,68
139,189,74
139,7,68
139,140,131
140,121,42
140,189,188
140,53,73
140,136,75
140,139,131
140,141,51
141,136,65
141,140,51
141,168,88
142,162,115
143,36,99
143,55,178
143,144,148
144,143,148
145,61,197
145,146,68
146,190,185
146,67,217
146,145,68
146,147,80
147,47,168
147,68,271
147,146,80
147,148,76
148,191,170
148,147,76
148,149,76
149,69,276
149,148,76
150,173,125
150,175,60
151,167,164
151,180,42
151,10,219
152,151,78
152,10,181
153,188,45
153,2,258
154,178,69
155,75,40
155,77,82
156,133,62
156,171,49
157,63,69
157,160,147
157,34,81
158,7,50
159,160,198
159,164,118
159,49,60
160,65,61
160,157,147
160,159,198
160,35,62
161,162,56
162,142,115
162,161,56
162,168,98
163,125,396
164,48,89
164,159,118
164,165,106
165,10,53
165,164,106
165,166,81
166,165,81
166,167,75
167,27,59
167,151,164
167,166,75
168,141,88
168,162,98
168,169,44
169,168,44
169,170,95
170,169,95
171,186,460
172,46,101
172,50,52
172,52,199
173,180,134
173,27,78
173,60,204
173,150,125
175,150,60
175,154,139
176,151,211
177,37,100
178,2,214
178,179,121
179,58,406
180,173,134
180,174,87
180,151,42
181,116,126
182,181,50
183,24,51
184,1,90
185,190,234
185,27,203
185,48,131
185,60,73
186,98,524
188,153,45
188,2,245
188,35,64
189,139,74
189,140,188
190,146,185
190,185,234
190,47,98
190,61,83
191,132,77
191,192,76
191,29,156
192,149,178
192,191,76
193,153,53
193,34,127
194,72,113
