node_id,grid_region_id
42467266,225
42467262,225
42467259,205
42467258,205
42467250,143
42467247,143
42467244,143
42467242,143
42467240,143
42467235,185
42467231,185
42467230,165
254803599,317
254803597,236
254803595,236
254803593,259
42467222,124
42467219,124
42467215,124
42467213,124
42467208,226
42467207,226
42467204,146
254803568,315
254803567,256
254803564,256
42467180,245
42467172,246
42467168,246
42467167,246
42467164,246
42467162,246
42467160,246
42467159,246
42467157,246
42467155,246
42467150,246
42467143,226
42467139,226
42467138,226
470285601,7
470285592,27
470285591,27
470285590,27
42467123,203
42467121,203
42467114,205
42467111,205
42467104,205
42467095,185
42467091,185
42467089,185
42467085,185
470285546,27
470285545,27
42467081,185
470285544,27
544210057,115
42467079,185
544210055,115
42467077,185
470285539,27
42467075,185
544210048,115
42467069,205
544210044,115
42467065,205
544210037,115
42467059,205
830470909,383
42467033,186
42467030,187
42467029,187
42467026,187
42467024,167
42467023,167
42467016,167
42467009,225
42467004,207
42466984,206
42466982,206
42466980,206
42466978,206
42466977,206
42466975,206
42466974,206
42466972,206
42466971,206
42466970,207
42466967,207
42466966,207
42466965,207
42466962,207
42466960,207
42466959,207
42466957,207
42466950,207
42466947,207
42466943,207
42466939,207
42466932,207
42466929,207
254803299,297
42466926,207
42466923,207
42466921,207
42466900,163
42466898,163
42466896,163
42466890,162
42466887,163
254803256,379
42466883,163
254803253,379
42466879,162
254803247,379
254803246,379
42466873,162
42466871,182
254803241,378
42466856,208
42466853,208
42466834,164
42466831,164
42466826,164
42466821,164
42466818,164
42466815,164
42466812,164
42466810,164
42466807,145
42466804,145
42466801,145
42466799,145
42466796,145
42466792,145
42466786,145
42466774,145
42466772,145
42466765,142
42466754,142
1413215973,186
1413215971,186
42466736,142
42466733,142
1413215965,186
42466730,142
42466727,142
42466720,163
42466719,163
42466715,162
42466714,162
42466711,167
1413215943,186
42466710,167
1413215937,186
1413215935,186
1413215929,186
1413215926,186
42466688,207
42466683,206
42466682,206
1413215902,185
42466655,165
254803025,297
254803024,297
254803022,297
254803020,297
254803010,338
42466639,124
254803007,357
254803006,357
254803003,398
42466631,124
42466625,203
42466621,203
42466617,203
42466615,203
42466608,203
42466605,203
42466600,203
42466541,202
42466517,166
42466514,166
42466513,166
42466512,166
42466510,166
42466508,166
42466506,166
42466503,166
42466502,166
42466500,166
42466499,166
42466496,166
42466495,166
42466492,166
42466491,166
42466481,166
254802839,397
42466468,166
254802835,276
254802834,276
42466454,166
42466447,167
42466440,167
42466438,167
42466432,187
42466431,187
42466423,187
42466413,187
42466412,187
42466405,208
42466401,208
42466398,208
42466395,208
254802761,275
42466389,188
42466383,188
42466378,188
42466376,188
42466347,162
42466343,162
254802682,276
254802680,276
42466306,166
42466299,166
254802668,377
42466290,166
42466282,166
42466273,166
42466266,166
42466259,166
42466249,166
254802616,259
42466244,166
42466239,166
42466234,166
42466227,166
42466219,166
42466214,166
452196762,124
42466209,166
371194366,190
42466204,166
276036211,209
42466202,166
42466200,166
42466196,166
42466192,166
42466191,166
42466189,166
42466188,166
42466186,166
42466184,166
42466183,166
42466180,166
42466179,166
42466172,166
42466150,124
42466146,124
42466144,124
42466141,124
100662035,231
42466138,124
100662030,211
100662028,211
42466130,124
254802499,319
42466122,124
254802487,296
42466100,124
42466098,124
254802468,297
42466096,124
254802466,297
42466094,124
254802461,317
42466089,124
42466087,124
42466082,124
42466077,124
42466073,124
42466071,124
42466068,124
254802437,257
254802436,377
254802435,377
42466064,124
254802433,377
42466061,124
42466058,124
2793928710,274
42466053,124
2793928707,294
42466049,124
42466045,124
42466042,124
42466040,124
42466038,124
42466034,124
254802403,378
42466030,124
42466027,124
42466024,124
42466019,124
42466016,124
42466011,124
42466008,124
42465999,125
254802358,319
42465970,125
42465968,125
42465963,145
254802330,259
42465958,145
42465956,145
42465954,145
42465952,145
254802319,357
42465945,145
42465942,145
42465936,145
42465935,145
42465933,145
42465929,145
42465926,145
42465921,145
279181651,367
42465917,145
42465911,145
279181640,367
293337397,129
42465906,145
293337390,129
42465899,145
279181626,367
42465893,145
42465881,145
42465878,145
42465874,145
42465871,145
42465857,146
42465852,146
42465807,145
42465806,145
42465801,145
42465799,145
42465797,145
279181528,367
254802165,337
42465794,145
42465793,145
279181524,367
254802161,337
42465785,145
42465783,145
42465782,145
42465776,145
42465770,145
42465764,145
279181487,367
2328361250,162
42465743,145
254802113,278
42465738,145
254802106,298
42465728,145
279181422,367
279181421,367
279181420,367
42465660,166
42465649,166
42465637,124
42465632,124
42465629,124
254801998,377
42465625,124
42465622,124
42465615,124
254801983,296
42465611,124
254801979,296
42465599,124
254801969,317
42465592,124
254801962,317
42465590,124
42465586,124
42465583,124
42465580,124
42465575,124
42465571,124
42465568,124
42465566,124
42465563,124
42465561,124
42465557,144
254801925,257
42465554,144
254801922,257
42465551,144
42465548,144
42465543,144
42465539,144
254801907,378
42465535,144
254801905,378
254801904,316
42465533,144
254801903,317
42465530,144
42465520,145
42465514,145
42465507,145
42465503,145
254801873,398
254801872,398
42465498,145
254801867,398
42465495,145
2499802957,213
42465494,145
254801860,336
42465489,145
254801856,257
42465483,145
254801849,277
42465476,145
254801841,298
254801840,298
42465469,145
42465465,145
42465462,145
42465459,145
42465457,145
42465454,145
42465449,145
42465446,145
42465444,145
42465442,145
276035449,209
42465440,145
276035447,209
42465438,145
42465437,145
42465434,145
42465432,145
42465429,145
42465427,145
42465425,145
42465421,145
279181143,367
42465408,145
42465404,145
42465399,145
42465392,145
2797860198,368
42465385,145
42465382,165
42465376,165
42465362,165
42465356,165
42465349,165
279181078,367
291763974,131
291763972,131
42465343,165
42465340,165
42465336,166
42465332,166
42465318,166
42465315,166
42465312,166
42465309,166
42465305,166
42465301,166
