node_id,grid_region_id
28438458,67
33751995,290
39076461,310
39076463,311
39076468,331
39076490,350
39076496,349
39076504,349
42421728,191
42421731,191
42421737,191
42421741,191
42421749,191
42421751,191
42421769,170
42421772,170
42421775,170
42421776,170
42421778,170
42421783,213
42421785,213
42421786,213
42421791,213
42421800,190
42421803,170
42421806,170
42421809,170
42421810,171
42421820,171
42421828,168
42421837,168
42421852,192
42421857,192
42421865,192
42421877,168
42421882,148
42421946,147
42421960,147
42421969,170
42421972,170
42421974,170
42421978,170
42421982,170
42421985,170
42421993,190
42421996,171
42422000,171
42422016,171
42422018,171
42422026,147
42422035,147
42422038,147
42422042,147
42422050,147
42422053,147
42422056,147
42422086,211
42422168,211
42422258,149
42422270,147
42422366,170
42422399,171
42422509,169
42422545,170
42422585,170
42422592,170
42422682,190
42422826,147
42422830,169
42422860,169
42422868,169
42422899,169
42423039,168
42423053,168
42423070,170
42423101,213
42423170,211
42423189,211
42423206,211
42423295,168
42423296,168
42423303,167
42423307,167
42423456,148
42423549,168
42423564,189
42423565,189
42423579,189
42423674,170
42423677,170
42423774,169
42423832,149
42423885,149
42424032,170
42424098,189
42424109,211
42424117,211
42424133,211
42424137,189
42424142,190
42424145,190
42424183,189
42424218,170
42424225,170
42424229,170
42424235,212
42424258,148
42424334,148
42424382,148
42424395,148
42424408,148
42424427,170
42424439,191
42424456,191
42424521,147
42424531,212
42424583,212
42424603,212
42424605,212
42424610,148
42424630,148
42424641,168
42424672,189
42424679,192
42424698,192
42424701,192
42424706,192
42424757,211
42424758,211
42424767,189
42424805,170
42424823,193
42424850,190
42424851,190
42424864,148
42424932,168
42424937,191
42425088,192
42425100,168
42425127,191
42425162,170
42425188,170
42425223,170
42425232,191
42425246,190
42425348,171
42425417,212
42425423,212
42425425,212
42425484,212
42425570,191
42425681,211
42425689,211
42425747,211
42425752,212
42425955,148
42426011,211
42426060,148
42426089,148
42426172,211
42426374,191
42426665,212
42426747,147
42426799,211
42426804,211
42426805,211
42426810,212
42426865,169
42426875,168
42426960,211
42426968,212
42426971,212
42427009,211
42427012,211
42427024,210
42427026,210
42427030,190
42427036,190
42427086,212
42427112,212
42427115,212
42427122,213
42427126,213
42427128,213
42427133,213
42427136,213
42427139,213
42427143,213
42427146,213
42427150,213
42427152,213
42427156,213
42427159,213
42427164,213
42427168,213
42427185,213
42427190,213
42427196,213
42427206,213
42427212,213
42427216,213
42427239,147
42427242,147
42427249,147
42427254,147
42427278,148
42427300,148
42427305,148
42427307,148
42427311,148
42427316,148
42427319,148
42427324,148
42427335,168
42427337,168
42427340,168
42427345,168
42427346,168
42427352,168
42427369,169
42427371,169
42427374,149
42427381,149
42427386,149
42427390,149
42427393,149
42427411,147
42427412,147
42427421,169
42427423,169
42427426,169
42427427,149
42427477,149
42427483,149
42427494,149
42427504,234
42427519,191
42427523,192
42427531,192
42427538,192
42427649,192
42427735,192
42427742,168
42427744,168
42427747,168
42427750,167
42427762,170
42427764,170
42427768,213
42427769,213
42427773,213
42427780,213
42427782,213
42427786,169
42427787,169
42427797,169
42427805,169
42427812,169
42427817,149
42427821,149
42427824,149
42427828,149
42427834,212
42427846,213
42427849,214
42427852,214
42427855,214
42427859,214
42427863,214
42427867,214
42427870,214
42427873,234
42427883,212
42427888,212
42427891,212
42427915,170
42427934,234
42427936,234
42427939,234
42427953,147
42427965,189
42427968,189
42427970,189
42427972,189
42427975,190
42427979,190
42427985,190
42427991,190
42427996,190
42428003,190
42428005,190
42428007,190
42428010,190
42428012,190
42428013,190
42428014,190
42428015,190
42428016,190
42428020,190
42428022,190
42428024,190
42428027,190
42428029,190
42428032,190
42428034,190
42428037,190
42428039,190
42428043,190
42428045,190
42428047,190
42428049,190
42428052,210
42428061,170
42428063,170
42428065,170
42428068,170
42428072,170
42428080,213
42428082,213
42428086,213
42428090,213
42428094,213
42428103,213
42428107,213
42428114,213
42428124,213
42428130,213
42428144,213
42428170,168
42428174,169
42428179,169
42428183,169
42428192,169
42428198,169
42428201,169
42428212,169
42428216,169
42428220,169
42428223,169
42428227,169
42428232,169
42428234,169
42428239,169
42428253,169
42428258,169
42428264,169
42428268,169
42428272,169
42428277,169
42428283,169
42428287,169
42428297,169
42428303,169
42428305,169
42428307,169
42428308,169
42428310,169
42428312,170
42428313,170
42428315,170
42428321,170
42428328,170
42428329,170
42428332,170
42428345,147
42428365,147
42428368,147
42428374,147
42428376,147
42428379,147
42428385,147
42428391,147
42428402,148
42428405,148
42428408,148
42428411,148
42428417,148
42428420,148
42428425,148
42428428,148
42428433,148
42428434,148
42428436,148
42428438,148
42428441,148
42428444,148
42428447,148
42428454,168
42428458,168
42428460,168
42428464,168
42428468,168
42428471,168
42428473,168
42428476,168
42428480,168
42428483,168
42428489,168
42428491,168
42428493,168
42428524,147
42428529,147
42428570,170
42428583,170
42428588,170
42428590,170
42428601,170
42428634,170
42428640,170
42428645,170
42428661,170
42428682,171
42428689,171
42428701,171
42428709,171
42428711,171
42428720,171
42428725,191
42428737,191
42428746,191
42428782,191
42428799,191
42428814,191
42428840,191
42428846,191
42428858,192
42428863,192
42428869,192
42428873,192
42428876,192
42428880,192
42428892,192
42428912,192
42428917,192
42428922,192
42428928,192
42428931,192
42428934,192
42428939,192
42428944,192
42428951,192
42428956,192
42428962,212
42428964,212
42428966,212
42428970,213
42428973,213
42428975,213
42428978,213
42428980,213
42428985,213
42428989,213
42428998,213
42429002,213
42429006,213
42429013,213
42429017,213
42429023,213
42429029,213
42429032,213
42429035,213
42429044,213
42429058,213
42429072,213
42429083,213
42429094,213
42429104,213
42429109,213
42429174,213
42429184,214
42429211,214
42429215,214
42429216,214
42429217,214
42429220,214
42429222,214
42429226,214
42429228,234
42429231,234
42429236,234
42429242,234
42429244,234
42429255,234
42429314,190
42429324,190
42429330,190
42429334,190
42429338,190
42429340,190
42429342,190
42429346,190
42429348,190
42429353,147
42429354,147
42429362,147
42429373,168
42429374,148
42429375,149
42429378,149
42429388,149
42429390,149
42429394,149
42429412,149
42429431,149
42429452,213
42429457,213
42429466,213
42429479,213
42429507,147
42429521,147
42429530,211
42429532,211
42429536,192
42429538,192
42429541,192
42429552,211
42429557,171
42429562,148
42429563,148
42429565,148
42429570,148
42429577,148
42429633,148
42429636,168
42429637,168
42429641,168
42429643,168
42429644,168
42429646,168
42429647,168
42429657,169
42429659,169
42429661,149
42429662,149
42429663,149
42429664,149
42429680,190
42429682,190
42429688,190
42429690,190
42429693,190
42429694,190
42429700,148
42429701,148
42429703,234
42429705,234
42429707,234
42429708,234
42429709,234
42429712,191
42429714,191
42429716,191
42429718,191
42429727,191
42429732,191
42429735,191
42429741,191
42429744,191
42429747,191
42429754,168
42429769,168
42429773,168
42429806,168
42429809,168
42429811,168
42429812,168
42429814,168
42429827,191
42429829,148
42429830,148
42429832,148
42429840,147
42429842,147
42429844,147
42429868,211
42429874,169
42429876,169
42429888,169
42429890,169
42429896,169
42429900,169
42429910,169
42429918,169
42429946,214
42429960,234
42429970,170
42429971,190
42429974,190
42429976,190
42429980,190
42429981,190
42429986,189
42429998,170
42429999,170
42430004,148
42430007,148
42430009,148
42430023,213
42430030,168
42430034,168
42430038,148
42430044,148
42430050,190
42430052,190
42430056,190
42430060,190
42430063,190
42430068,190
42430075,190
42430115,148
42430122,148
42430126,148
42430135,148
42430143,148
42430154,148
42430160,148
42430167,148
42430187,148
42430205,148
42430217,148
42430233,148
42430235,148
42430237,148
42430241,148
42430247,148
42430249,148
42430253,149
42430255,169
42430257,169
42430259,169
42430263,169
42430265,169
42430269,169
42430271,169
42430274,169
42430277,169
42430279,169
42430282,169
42430288,169
42430292,169
42430295,169
42430298,169
42430304,169
42430308,169
42430311,169
42430314,169
42430317,169
42430320,169
42430324,169
42430329,169
42430333,169
42430338,169
42430342,169
42430344,169
42430347,169
42430350,169
42430352,169
42430356,169
42430358,169
42430361,169
42430363,169
42430367,169
42430371,170
42430375,170
42430378,170
42430384,170
42430390,170
42430394,170
42430474,191
42430477,191
42430479,191
42430482,191
42430485,211
42430488,210
42430491,210
42430519,148
42430521,148
42430535,148
42430546,148
42430550,148
42430557,148
42430571,148
42430594,149
42430597,149
42430600,149
42430603,149
42430607,149
42430629,149
42430639,149
42430643,149
42430651,149
42430664,149
42430669,149
42430673,149
42430677,149
42430680,149
42430685,150
42430688,150
42430691,170
42430694,170
42430698,170
42430704,170
42430707,170
42430713,170
42430722,170
42430736,170
42430739,170
42430742,170
42430745,170
42430747,170
42430749,170
42430761,148
42430770,148
42430796,148
42430803,148
42430805,148
42430811,148
42430828,148
42430857,168
42430861,168
42430886,168
42430889,168
42430898,168
42430903,168
42430914,168
42430924,168
42430938,168
42430942,168
42430945,168
42430951,213
42430953,213
42430959,190
42430965,190
42430973,168
42430981,170
42430983,170
42430984,170
42430985,170
42430989,170
42431000,170
42431002,170
42431004,170
42431005,170
42431007,170
42431008,170
42431009,170
42431015,170
42431019,170
42431024,170
42431027,170
42431030,170
42431034,171
42431037,171
42431039,171
42431044,171
42431057,171
42431067,171
42431078,171
42431089,171
42431094,171
42431096,171
42431099,171
42431102,171
42431104,171
42431106,171
42431107,171
42431108,171
42431111,191
42431113,191
42431116,191
42431118,191
42431154,149
42431156,149
42431165,168
42431177,213
42431180,214
42431186,191
42431187,191
42431193,191
42431200,191
42431201,191
42431207,191
42431210,191
42431230,214
42431234,214
42431242,214
42431252,214
42431257,214
42431260,234
42431262,234
42431273,148
42431275,148
42431280,170
42431293,191
42431363,191
42431413,170
42431447,191
42431452,168
42431453,168
42431459,168
42431461,168
42431464,168
42431467,168
42431470,168
42431490,168
42431491,168
42431503,149
42431505,149
42431508,149
42431511,149
42431515,148
42431517,148
42431519,148
42431536,148
42431544,170
42431549,170
42431556,170
42431560,170
42431563,170
42431602,148
42431611,148
42431614,148
42431617,148
42431630,148
42431635,148
42431643,212
42431649,170
42431650,190
42431654,190
42431656,190
42431659,190
42431661,190
42431666,214
42431671,190
42431674,190
42431678,190
42431680,190
42431681,190
42431684,190
42431724,234
42431729,234
42431773,148
42431789,148
42431793,148
42431797,148
42431802,148
42431804,148
42431805,148
42431812,148
42431814,148
42431868,147
42431877,147
42431889,147
42431902,147
42431990,148
42431992,147
42432000,168
42432054,168
42432057,168
42432060,168
42432063,168
42432066,168
42432068,168
